comune,mese,tot_rsu
ACQUAVIVA DELLE FONTI,2021-01-01,0.39296247076614477
ACQUAVIVA DELLE FONTI,2021-02-01,0.35656292129942946
ACQUAVIVA DELLE FONTI,2021-03-01,0.3148869643420932
ACQUAVIVA DELLE FONTI,2021-04-01,0.3435192505949857
ACQUAVIVA DELLE FONTI,2021-05-01,0.4690245843987095
ACQUAVIVA DELLE FONTI,2021-06-01,0.44320011476003174
ACQUAVIVA DELLE FONTI,2021-07-01,0.4719534378918222
ACQUAVIVA DELLE FONTI,2021-08-01,0.41149116968462307
ACQUAVIVA DELLE FONTI,2021-09-01,0.4627284717523431
ACQUAVIVA DELLE FONTI,2021-10-01,0.436375271407033
ACQUAVIVA DELLE FONTI,2021-11-01,0.4451417676630681
ACQUAVIVA DELLE FONTI,2021-12-01,0.4502858444328262
ADELFIA,2014-03-01,0.39669851967959596
ADELFIA,2014-04-01,0.4589770027589228
ADELFIA,2014-05-01,0.2530158127834765
ADELFIA,2014-06-01,0.08514443392773756
ADELFIA,2014-07-01,0.021025036561747867
ADELFIA,2014-08-01,0.030231294044170964
ADELFIA,2014-09-01,0.04593187911202211
ADELFIA,2014-10-01,0.06908551840342259
ADELFIA,2014-11-01,0.09649916494856092
ADELFIA,2014-12-01,0.06222066007089963
ADELFIA,2015-01-01,0.05589259211335764
ADELFIA,2015-02-01,0.030910293033104153
ADELFIA,2015-03-01,0.04811888326044032
ADELFIA,2015-04-01,0.038298358993595266
ADELFIA,2015-05-01,0.06589055041318732
ADELFIA,2015-06-01,0.05488588209933941
ADELFIA,2015-07-01,0.07868599006945826
ADELFIA,2015-08-01,0.0673665009281378
ADELFIA,2015-09-01,0.1686151765309943
ADELFIA,2015-10-01,0.1755382627802954
ADELFIA,2015-11-01,0.2245171278124092
ADELFIA,2015-12-01,0.10642433012610353
ADELFIA,2016-01-01,0.07699045012428239
ADELFIA,2016-02-01,0.07659507967302312
ADELFIA,2016-03-01,0.10469187543660428
ADELFIA,2016-04-01,0.16383850311595277
ADELFIA,2016-05-01,0.15138314025124908
ADELFIA,2016-06-01,0.10906924828992531
ADELFIA,2016-07-01,0.0718848308907622
ADELFIA,2016-08-01,0.09829317866843826
ADELFIA,2016-09-01,0.1250061056027214
ADELFIA,2016-10-01,0.14793561388893328
ADELFIA,2016-11-01,0.12848884943684707
ADELFIA,2016-12-01,0.1069217094662161
ADELFIA,2017-01-01,0.10391654259028811
ADELFIA,2017-02-01,0.09515684408421757
ADELFIA,2017-03-01,0.11681872437262632
ADELFIA,2017-04-01,0.1019949421279093
ADELFIA,2017-05-01,0.14664714377699656
ADELFIA,2017-06-01,0.1527744956227977
ADELFIA,2017-07-01,0.1570252845406818
ADELFIA,2017-08-01,0.1276363338169185
ADELFIA,2017-09-01,0.1155960748601795
ADELFIA,2017-10-01,0.12765906509892558
ADELFIA,2017-11-01,0.14092226969895605
ADELFIA,2017-12-01,0.15568281505062462
ADELFIA,2018-01-01,0.1663035989635344
ADELFIA,2018-02-01,0.08338754871063836
