comune,mese,tot_rsu
ACQUAVIVA DELLE FONTI,2021-03-01,31.65387669415015
ACQUAVIVA DELLE FONTI,2021-04-01,32.08339678464986
ACQUAVIVA DELLE FONTI,2021-05-01,34.02213544499315
ACQUAVIVA DELLE FONTI,2021-06-01,33.594002218983185
ACQUAVIVA DELLE FONTI,2021-07-01,34.05843866251877
ACQUAVIVA DELLE FONTI,2021-08-01,33.11628450845172
ACQUAVIVA DELLE FONTI,2021-09-01,33.92719233363065
ACQUAVIVA DELLE FONTI,2021-10-01,33.487964191702744
ACQUAVIVA DELLE FONTI,2021-11-01,33.6295875301847
ACQUAVIVA DELLE FONTI,2021-12-01,33.70562033632824
ADELFIA,2014-03-01,32.919590883678104
ADELFIA,2014-04-01,33.862400105238926
ADELFIA,2014-05-01,30.64643009833262
ADELFIA,2014-06-01,26.77909691847272
ADELFIA,2014-07-01,22.95107047719275
ADELFIA,2014-08-01,23.84889005821028
ADELFIA,2014-09-01,25.154773571874898
ADELFIA,2014-10-01,26.139770447594305
ADELFIA,2014-11-01,27.142526391949225
ADELFIA,2014-12-01,25.850850133193017
ADELFIA,2015-01-01,25.56058802249482
ADELFIA,2015-02-01,23.942381688427005
ADELFIA,2015-03-01,25.223797151971585
ADELFIA,2015-04-01,24.601637780774166
ADELFIA,2015-05-01,26.037557141447696
ADELFIA,2015-06-01,25.510704771927518
ADELFIA,2015-07-01,26.535620087479856
ADELFIA,2015-08-01,26.07171375012333
ADELFIA,2015-09-01,29.073312066300524
ADELFIA,2015-10-01,29.251474989311674
ADELFIA,2015-11-01,30.148110632420167
ADELFIA,2015-12-01,27.466964843621533
ADELFIA,2016-01-01,26.48409905613839
ADELFIA,2016-02-01,26.462788173775778
ADELFIA,2016-03-01,27.39336337027658
ADELFIA,2016-04-01,28.95793731706515
ADELFIA,2016-05-01,28.711658499687573
ADELFIA,2016-06-01,27.56757983359095
ADELFIA,2016-07-01,26.261301673956655
ADELFIA,2016-08-01,27.173545565165917
ADELFIA,2016-09-01,28.01789061729207
ADELFIA,2016-10-01,28.62771828855198
ADELFIA,2016-11-01,28.12987239780314
ADELFIA,2016-12-01,27.48699411319762
ADELFIA,2017-01-01,27.373039102838163
ADELFIA,2017-02-01,27.10685039629033
ADELFIA,2017-03-01,27.816029203801758
ADELFIA,2017-04-01,27.285625020554477
ADELFIA,2017-05-01,28.588055381984415
ADELFIA,2017-06-01,28.74098069523465
ADELFIA,2017-07-01,28.83293320616963
ADELFIA,2017-08-01,28.10648863748479
ADELFIA,2017-09-01,27.768079718485875
ADELFIA,2017-10-01,28.10688328345447
ADELFIA,2017-11-01,28.439372512908214
ADELFIA,2017-12-01,28.798697668300065
ADELFIA,2018-01-01,29.01614759759266
ADELFIA,2018-02-01,26.724438451672313
ADELFIA,2018-03-01,26.90163449205775
ADELFIA,2018-04-01,27.531094813694217
ADELFIA,2018-05-01,30.80488045515835
ADELFIA,2018-06-01,29.965271154668336
ADELFIA,2018-07-01,30.148189561614103
ADELFIA,2018-08-01,28.688394119775054
